Benchmark,InputData,ID,Kernel,Memory Frequency,SOL FB,Elapsed Cycles,SM Frequency,Memory [%],Duration,SOL L2,SM Active Cycles,SM [%],SOL TEX,Block Size,Grid Size,Registers Per Thread,Shared Memory Configuration Size,Dynamic Shared Memory Per Block,Static Shared Memory Per Block,Threads,Waves Per SM,Block Limit SM,Block Limit Registers,Block Limit Shared Mem,Block Limit Warps,Achieved Active Warps Per SM,Achieved Occupancy,Theoretical Active Warps per SM,Theoretical Occupancy
cfd,097K,90,cuda_time_step,838274932.61,66.37,14779,1242040094.34,66.37,11872,21.73,11503.69,5.22,14.52,192,506,22,0,0,0,97152,0.63,32,14,32,10,33.75,52.73,60,93.75
cfd,097K,91,cuda_compute_step_factor,778169014.08,45.51,10486,1152197036.38,45.51,9088,13.40,8086.49,17.50,11.26,192,506,20,0,0,0,97152,0.63,32,14,32,10,30.44,47.57,60,93.75
cfd,097K,92,cuda_compute_flux,859294320.14,36.12,47272,1265907379.52,36.12,37184,32.52,36014.35,22.53,30.10,192,506,60,0,0,0,97152,1.27,32,5,32,10,25.30,39.54,30,46.88
cfd,097K,93,cuda_time_step,793147208.12,66.27,14912,1180255922.17,66.27,12608,21.56,11577.96,5.18,14.42,192,506,22,0,0,0,97152,0.63,32,14,32,10,33.98,53.10,60,93.75
cfd,097K,94,cuda_compute_flux,874453193.35,36.19,47334,1288959973.75,36.19,36576,32.32,36888.36,22.28,29.42,192,506,60,0,0,0,97152,1.27,32,5,32,10,24.65,38.52,30,46.88
cfd,097K,95,cuda_time_step,884427374.30,65.29,15080,1314449487.90,65.29,11456,21.28,11552.71,5.11,14.45,192,506,22,0,0,0,97152,0.63,32,14,32,10,33.93,53.02,60,93.75
cfd,097K,96,cuda_compute_flux,885077186.96,35.16,48936,1306442967.41,35.16,37312,31.43,36008.75,21.50,30.05,192,506,60,0,0,0,97152,1.27,32,5,32,10,24.92,38.94,30,46.88
cfd,097K,97,cuda_time_step,807486631.02,68.01,14359,1197039327.09,68.01,11968,22.38,11956.89,5.37,13.97,192,506,22,0,0,0,97152,0.63,32,14,32,10,33.87,52.92,60,93.75
cfd,097K,98,cuda_compute_step_factor,819799270.07,44.88,10666,1214682177.62,44.88,8768,13.16,7920.19,17.10,11.50,192,506,20,0,0,0,97152,0.63,32,14,32,10,30.28,47.32,60,93.75
cfd,097K,99,cuda_compute_flux,857821953.33,36.44,46984,1264148480.27,36.44,37024,32.62,35402.40,22.55,30.53,192,506,60,0,0,0,97152,1.27,32,5,32,10,24.90,38.90,30,46.88
cfd,193K,0,cuda_compute_step_factor,774725274.73,54.21,16752,1147630494.51,54.21,14560,16.72,13449.24,27.34,13.49,192,1008,20,0,0,0,193536,1.26,32,14,32,10,45.72,71.43,60,93.75
cfd,193K,1,cuda_compute_flux,842955371.04,41.20,77236,1246759319.32,42.55,61664,42.55,69079.02,33.49,33.83,192,1008,60,0,0,0,193536,2.52,32,5,32,10,26.01,40.63,30,46.88
cfd,193K,2,cuda_time_step,854559748.43,74.06,25928,1270530332.81,74.06,20352,24.69,20940.91,5.89,15.88,192,1008,22,0,0,0,193536,1.26,32,14,32,10,47.69,74.52,60,93.75
cfd,193K,3,cuda_compute_flux,844897959.18,40.38,78653,1247706738.95,42.14,62720,42.14,72478.11,35.83,32.50,192,1008,60,0,0,0,193536,2.52,32,5,32,10,25.98,40.59,30,46.88
cfd,193K,4,cuda_time_step,826923076.92,74.94,25643,1229038461.54,74.94,20800,24.96,20949.33,5.96,15.88,192,1008,22,0,0,0,193536,1.26,32,14,32,10,47.80,74.69,60,93.75
cfd,193K,5,cuda_compute_flux,834450747.81,41.34,76813,1232639784.25,42.97,62048,42.97,70801.45,34.79,33.20,192,1008,60,0,0,0,193536,2.52,32,5,32,10,25.69,40.14,30,46.88
cfd,193K,6,cuda_time_step,797772988.51,72.51,26491,1186384997.61,72.51,22272,24.16,20723.70,5.76,16.05,192,1008,22,0,0,0,193536,1.26,32,14,32,10,49.18,76.84,60,93.75
cfd,193K,7,cuda_compute_step_factor,811403508.77,51.59,17554,1198499177.63,51.59,14592,15.98,14028.25,27.13,12.93,192,1008,20,0,0,0,193536,1.26,32,14,32,10,45.95,71.80,60,93.75
cfd,193K,8,cuda_compute_flux,856956748.31,40.70,78152,1267400013.03,42.31,61408,42.31,70794.91,33.95,33.03,192,1008,60,0,0,0,193536,2.52,32,5,32,10,25.63,40.05,30,46.88
cfd,193K,9,cuda_time_step,810975609.76,75.87,25342,1203768102.13,75.87,20992,25.25,20914.33,6.03,15.90,192,1008,22,0,0,0,193536,1.26,32,14,32,10,47.80,74.68,60,93.75
cfd,193K,10,cuda_compute_flux,839166237.78,41.06,77430,1239312596.50,42.66,62176,42.66,70791.35,33.71,33.07,192,1008,60,0,0,0,193536,2.52,32,5,32,10,25.58,39.97,30,46.88
cfd,193K,11,cuda_time_step,818939393.94,74.70,25769,1216777146.46,74.70,21120,24.85,20621.25,5.93,16.13,192,1008,22,0,0,0,193536,1.26,32,14,32,10,48.41,75.63,60,93.75
cfd,193K,12,cuda_compute_flux,854973821.99,41.00,77651,1263735274.87,42.24,61120,42.24,70168.84,32.86,33.18,192,1008,60,0,0,0,193536,2.52,32,5,32,10,25.83,40.37,30,46.88
cfd,193K,13,cuda_time_step,808042488.62,75.56,25384,1200398330.80,75.56,21088,25.18,20982.86,6.02,15.85,192,1008,22,0,0,0,193536,1.26,32,14,32,10,48.54,75.84,60,93.75
cfd,193K,14,cuda_compute_step_factor,763676148.80,55.27,16549,1127997355.94,55.27,14624,16.92,13819.14,27.38,13.13,192,1008,20,0,0,0,193536,1.26,32,14,32,10,46.80,73.13,60,93.75
cfd,193K,15,cuda_compute_flux,810598377.28,41.85,75955,1197058295.30,43.43,63104,43.43,70454.35,33.54,33.15,192,1008,60,0,0,0,193536,2.52,32,5,32,10,25.53,39.90,30,46.88
cfd,193K,16,cuda_time_step,857819905.21,73.96,25901,1274692272.25,73.96,20256,24.71,20843.24,5.90,15.96,192,1008,22,0,0,0,193536,1.26,32,14,32,10,47.91,74.87,60,93.75
cfd,193K,17,cuda_compute_flux,857256778.31,41.47,76583,1265912967.39,42.86,60192,42.86,69600.55,32.51,33.67,192,1008,60,0,0,0,193536,2.52,32,5,32,10,25.63,40.04,30,46.88
cfd,193K,18,cuda_time_step,847003154.57,74.96,25592,1257697489.48,74.96,20288,24.97,21270.04,5.97,15.64,192,1008,22,0,0,0,193536,1.26,32,14,32,10,46.93,73.33,60,93.75
cfd,193K,19,cuda_compute_flux,852801268.50,41.44,76688,1260419419.49,42.89,60544,42.89,69255.91,32.07,33.97,192,1008,60,0,0,0,193536,2.52,32,5,32,10,25.81,40.33,30,46.88
